id,repo,file_name,exact_match,similarity,bleu3,rouge_l,eval_method,bypass_method,model_name,tokens_system_prompt,tokens_original,tokens_diff_a,tokens_diff_b,tokens_output,tokens_total,tokens_in,tokens_out,cost_in,cost_out,total_cost,processing_time_s,difficulty,project_size
981856617340,microsoft/graphrag,graphrag/index/cache/load_cache.py,False,0.7672837174159426,0.7416298093376631,0.8110236220472441,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,1655,1576,852,2912,9882,6970,2912,0.0,0.0,0.0,134.559,hard,medium
981856617340,microsoft/graphrag,graphrag/index/storage/load_storage.py,False,0.9470812875068194,0.9439340880750808,0.96986301369863,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,1180,1216,660,2796,8739,5943,2796,0.0,0.0,0.0,134.559,hard,medium
186905093121,pennylaneai/pennylane,pennylane/labs/resource_estimation/__init__.py,False,0.8370328744029222,0.93388424388771,0.926829268292683,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,3015,1888,916,3930,12636,8706,3930,0.0,0.0,0.0,88.591,easy,large
39607804436,MervinPraison/PraisonAI,src/praisonai-agents/praisonaiagents/agent/agent.py,False,0.0764701775616113,3.6055838361778965e-05,0.1575081226161887,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,120615,31964,23888,10508,189862,179354,10508,0.0,0.0,0.0,257.855,medium,large
301020949221,opendilab/lightzero,lzero/model/unizero_world_models/slicer.py,False,0.99177589308661,0.9886243692217798,0.9945246391239424,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,8515,2280,4292,6625,24599,17974,6625,0.0,0.0,0.0,302.569,hard,medium
301020949221,opendilab/lightzero,lzero/model/unizero_world_models/utils.py,False,0.8801700811751063,0.9029399976024663,0.9272289156626504,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,8505,1136,504,7088,20120,13032,7088,0.0,0.0,0.0,302.569,hard,medium
249587136742,OpenSPG/KAG,kag/builder/component/record_parser/markdown_parser.py,False,0.3297512078385334,0.2588164256467845,0.5414209491715811,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,18670,19548,460,8536,50101,41565,8536,0.0,0.0,0.0,192.549,easy,large
396434079028,konradhalas/dacite,dacite/core.py,False,0.9648801597869509,0.9849059852322286,0.9778968519758876,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,6530,744,2768,7280,20209,12929,7280,0.0,0.0,0.0,161.88,medium,small
241210066237,khronosgroup/gltf-blender-io,addons/io_scene_gltf2/__init__.py,False,0.1048254917084458,0.0003711866368118,0.2077112077112077,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,87435,2296,692,8310,101620,93310,8310,0.0,0.0,0.0,221.364,easy,medium
366312584498,pachterlab/gget,gget/__init__.py,False,0.6022628372497825,0.9492369732637624,0.6687697160883281,force_mix,MIX,local:meta-llama/Llama-3.1-8B-Instruct,2887,1340,656,392,2898,8173,5275,2898,0.0,0.0,0.0,66.204,easy,medium
