sample_id,agent_vs_gt_sloc,bypass_vs_gt_sloc,agent_vs_bypass_sloc,agent_vs_gt_lloc,bypass_vs_gt_lloc,agent_vs_bypass_lloc,agent_vs_gt_cc_total,bypass_vs_gt_cc_total,agent_vs_bypass_cc_total,agent_vs_gt_cc_avg,bypass_vs_gt_cc_avg,agent_vs_bypass_cc_avg,agent_vs_gt_cc_max,bypass_vs_gt_cc_max,agent_vs_bypass_cc_max,agent_vs_gt_mi_score,bypass_vs_gt_mi_score,agent_vs_bypass_mi_score,agent_vs_gt_h_difficulty,bypass_vs_gt_h_difficulty,agent_vs_bypass_h_difficulty,agent_vs_gt_h_bugs,bypass_vs_gt_h_bugs,agent_vs_bypass_h_bugs,gt_sloc,gt_lloc,gt_cc_total,gt_cc_avg,gt_cc_max,gt_mi_score,gt_h_difficulty,gt_h_bugs
103656426411,-24.0,-25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0
106151546310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107501480065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115058474542,0.0,-275.0,275.0,0.0,-166.0,166.0,0.0,-61.0,61.0,0.0,-4.6923076923076925,4.6923076923076925,0.0,-10.0,10.0,0.0,-48.074049042568646,48.074049042568646,0.0,-5.2682926829268295,5.2682926829268295,0.0,-0.16095501553130262,0.16095501553130262,275.0,166.0,61.0,4.6923076923076925,10.0,48.074049042568646,5.2682926829268295,0.16095501553130262
118214162527,0.0,-10.0,10.0,0.0,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,241.0,23.0,1.0454545454545454,2.0,100.0,0.0,0.0
125568505545,-199.0,0.0,-199.0,-131.0,0.0,-131.0,-260.0,0.0,-260.0,-4.126984126984127,0.0,-4.126984126984127,-16.0,0.0,-16.0,-3.4470633219841016,0.0,-3.4470633219841016,-10.945273631840797,0.0,-10.945273631840797,-1.0840299887980789,0.0,-1.0840299887980789,844.0,561.0,260.0,4.126984126984127,16.0,3.4470633219841016,10.945273631840797,1.0840299887980789
126658010330,-2.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05874027768894052,-0.018032268093236326,-0.0407080095957042,0.0,0.0,0.0,0.0,0.0,0.0,179.0,41.0,4.0,1.3333333333333333,2.0,77.49085510675432,2.1818181818181817,0.02344134357365111
127442621803,-1679.0,0.0,-1679.0,-1062.0,0.0,-1062.0,-208.0,0.0,-208.0,-3.5254237288135593,0.0,-3.5254237288135593,-25.0,0.0,-25.0,-3.254969266585042,0.0,-3.254969266585042,-7.576158940397351,0.0,-7.576158940397351,-0.6572746457458822,0.0,-0.6572746457458822,1679.0,1062.0,208.0,3.5254237288135593,25.0,3.254969266585042,7.576158940397351,0.6572746457458822
134296232550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135757895111,50.0,11.0,39.0,45.0,13.0,32.0,16.0,5.0,11.0,0.5333333333333332,0.16666666666666696,0.36666666666666625,2.0,0.0,2.0,-2.89248290636732,-0.7606649491934121,-2.131817957173908,0.6487704049183804,0.49104634831460636,0.1577240566037741,0.0868135196293795,0.030956117169962827,0.05585740245941667,813.0,723.0,142.0,4.733333333333333,16.0,22.545205931707912,8.337078651685394,0.3744440295222602
136304482098,-20.0,-14.0,-6.0,5.0,-18.0,23.0,3.0,-1.0,4.0,0.08108108108108114,0.0442942942942941,0.03678678678678704,2.0,0.0,2.0,-0.6596857885472005,0.22168865619612177,-0.8813744447433223,0.5403087478559172,-0.028708133971291794,0.569016881827209,0.010396870863540658,0.007509400058187399,0.0028874708053532594,407.0,415.0,96.0,2.5945945945945947,10.0,42.40848844630775,5.318181818181818,0.198
141616630456,-24.0,13.0,-37.0,-21.0,-19.0,-2.0,-6.0,-6.0,0.0,-0.06646341463414629,-0.22241579558652713,0.15595238095238084,0.0,0.0,0.0,1.1474645305796898,1.7638903105210204,-0.6164257799413306,-0.14269230769230923,-0.409965034965035,0.2672727272727258,-0.02840396775520876,-0.04512698896223244,0.01672302120702368,1020.0,653.0,137.0,3.341463414634146,28.0,31.29559092604636,8.682692307692308,0.4634312986570307
147440192254,13.0,14.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.312348865840903,-0.6513774972547992,-0.6609713685861038,0.0,0.0,0.0,0.0,0.0,0.0,184.0,93.0,2.0,1.0,1.0,66.99539339819907,2.85,0.043171796711646074
153867800458,78.0,115.0,-37.0,60.0,90.0,-30.0,22.0,32.0,-10.0,-0.08413793103448253,-0.026666666666666394,-0.05747126436781613,0.0,0.0,0.0,-1.4825089865510215,-3.1868764308726494,1.704367444321628,0.6223196881091617,0.5449576082106198,0.07736207989854194,0.07281583565466287,0.16846385154245525,-0.09564801588779237,718.0,518.0,168.0,3.36,14.0,14.180403691107228,6.0092592592592595,0.931359269987619
157321321819,-7.0,-1.0,-6.0,-2.0,-3.0,1.0,0.0,1.0,-1.0,0.0,0.040000000000000036,-0.040000000000000036,0.0,0.0,0.0,-0.021151185040714893,-0.442036946603217,0.4208857615625021,0.0,-0.10196078431372602,0.10196078431372602,0.0,0.015065315934779,-0.015065315934779,449.0,281.0,83.0,3.32,15.0,32.74769055236385,6.901960784313726,0.19648847824276688
157961687120,1.0,-35.0,36.0,1.0,-19.0,20.0,0.0,-4.0,4.0,0.0,-1.333333333333333,1.333333333333333,0.0,-1.0,1.0,-0.1971830262806975,4.074108696428297,-4.271291722708995,0.0,-1.0606060606060608,1.0606060606060608,0.0,-0.012417392790526297,0.012417392790526297,124.0,70.0,18.0,6.0,8.0,67.91807566763573,2.8333333333333335,0.040337995552282055
160767656621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164866621823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165342132729,-27.0,-26.0,-1.0,-5.0,-6.0,1.0,-2.0,0.0,-2.0,-0.11764705882352988,0.0,-0.11764705882352988,-1.0,0.0,-1.0,0.46837023883237094,-0.2042624695806694,0.6726327084130403,-0.8499409427681748,0.0,-0.8499409427681748,-0.0377990108935814,0.0,-0.0377990108935814,311.0,210.0,71.0,4.176470588235294,13.0,40.2006222313611,10.52158273381295,0.8286797123703833
172409570361,0.0,-27.0,27.0,0.0,-15.0,15.0,-2.0,-2.0,0.0,0.48901098901098905,0.48901098901098905,0.0,0.0,0.0,0.0,0.1807766843537557,1.0087621668863207,-0.827985482532565,0.0,-0.46905294556301413,0.46905294556301413,0.0,-0.055449743552801634,0.055449743552801634,558.0,472.0,117.0,8.357142857142858,49.0,29.96769329242822,12.277777777777779,0.8249121908899976
173479270170,96.0,-23.0,119.0,132.0,-23.0,155.0,55.0,-3.0,58.0,0.16002415458937191,0.0440821256038646,0.11594202898550732,0.0,0.0,0.0,-11.829380840304916,0.45355890741920035,-12.282939747724116,0.8309483292079207,0.06364922206506307,0.7672991071428577,0.6612359344337482,-0.16497795782754743,0.8262138922612956,431.0,413.0,145.0,2.013888888888889,14.0,26.613915344230595,9.57920792079208,1.5378561704580767
173524980836,-2.0,14.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09936060837452487,-0.6730390969847093,0.7723997053592342,0.0,0.0,0.0,0.0,0.0,0.0,156.0,88.0,3.0,1.0,1.0,76.99012973103507,0.5,0.002113283334294875
181756214525,0.0,-7.0,7.0,1.0,-6.0,7.0,0.0,-1.0,1.0,0.0,-0.33333333333333326,0.33333333333333326,0.0,-1.0,1.0,-0.15659338690620928,35.62592991662082,-35.78252330352703,0.0,-0.5,0.5,0.0,-0.0015849625007211565,0.0015849625007211565,107.0,60.0,4.0,1.3333333333333333,2.0,64.37407008337918,0.5,0.0015849625007211565
18212518336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192668479653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192974181015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193733771823,-7.0,-25.0,18.0,-7.0,-13.0,6.0,-7.0,-4.0,-3.0,-1.166666666666666,-0.6666666666666661,-0.5,-5.0,-3.0,-2.0,2.4611921263580925,1.7959700361206075,0.665222090237485,0.17810235507246297,0.10362318840579654,0.07447916666666643,-0.02370169467393657,-0.05032277912905575,0.02662108445511918,340.0,205.0,93.0,15.5,60.0,39.92571333644075,10.079710144927537,0.34330780824937657
